PAR_Total,Label,Recycle,EQP_ID1,EQP_ID2,EQP_ID3,RECIPE_ID3,EQP_ID4,MAINPD_ID_1,MAINPD_ID_2
112,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
104,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
166,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
61,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
113,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
92,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
101,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
65,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
126,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
144,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
68,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
62,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
239,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
201,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
59,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
73,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
94,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
130,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
172,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R12
52,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
91,G,0,KIN4,GMR7,GSP,DCLN2,KP20,R1,R9
1882,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
1756,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
38131,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
2265,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
1973,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
80321,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
58103,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
65388,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
1995,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
41308,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
6736,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R13
36220,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
1818,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
38476,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
1639,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
37948,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
1729,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
36357,B,0,KIN4,GMR3,GSP,DCLN2,JP22,R2,R4
1723,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
167,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
3431,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
3774,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
32881,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
17558,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
18903,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
20261,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
307,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
185,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
3117,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
15775,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R13
302,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R5
259,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R5
244,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R5
222,G,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R5
1180,B,0,HIN2,GMR3,GSP,DCLN2,KP24,R2,R5
1401,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
58,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
62,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1480,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1606,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
76,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1919,B,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
68,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
52,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1447,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
57,G,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1453,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
77,G,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1006,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
60,G,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1566,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1343,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
79,G,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
59,G,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1506,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
1723,B,1,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
102,G,2,HIN4,GMR7,GSP,DCLN2,JP22,R2,R6
519,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
737,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
643,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
783,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
684,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
805,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
592,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
951,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
759,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
863,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
1034,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
925,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
697,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
1121,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
668,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
634,G,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
964,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
1412,B,1,HIN4,GMR3,GSP,DCLN2,KP10,R2,R6
558,G,0,HIN4,GMR3,GSP,DCLN2,KP10,R2,R5
6825,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
15619,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
911,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
15494,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
921,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
17358,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
902,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13847,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
844,G,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13522,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
893,G,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13780,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
895,G,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
14021,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
949,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13144,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
1664,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
12616,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
827,G,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13934,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
967,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
12620,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
896,G,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
13306,B,0,HIN2,GMR3,GSP,DCLN2,JP22,R2,R13
951,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
118,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
929,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
1025,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
115,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
767,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
100,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
1275,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
201,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
853,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
79,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
941,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R4
98,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
1002,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
92,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
1194,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
1434,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
103,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
1308,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
1032,B,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
144,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
99,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
862,G,0,KIN4,GMR7,GSP,DCLN2,KP04,R2,R5
142,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R1,R9
164,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R1,R9
205,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
242,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
45658,B,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
473,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
199,G,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
37216,B,0,HIN2,GMR3,GSS,DCLN2,KP19,R2,R13
43781,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
3627,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
74394,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
9966,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
33470,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
31058,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
2696,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
8916,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
3316,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
34314,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
31144,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
22812,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
40145,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
28795,B,0,HIN1,GMR3,GSP,DCLN2,JP22,R2,R13
396,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R11
2010,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R11
2177,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R12
474,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R11
2904,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R8
809,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R12
3518,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R1,R11
239,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
669,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
8826,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R13
422,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R13
2057,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
2528,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
402,G,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
3553,B,0,HIN4,GMR3,GSS,DCLN2,KP17,R2,R1
167,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
63,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
175,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
208,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
219,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
74,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
231,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
287,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
53,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
301,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
64,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
304,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
13725,B,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
53,G,1,HIN1,GMR7,GSS,DCLN2,JP22,R2,R6
