Label,Vendor,Usage,Recycle,MAINPD_ID,EQP1,Recipe1,CAST_ID,MAINPD_ID_1,MAINPD_ID_2
B,FK,0,1,CEPA07SAC1,KP11,DI4,F140,CEBIH1PA02,CEBIHPA002
G,FK,2,1,CEPA07SAC1,KP13,DI4,F400,CEPACONT01,CE003PAMON
G,FK,1,1,CEPA003H40,KP22,DI3,F451,CEPACONT01,CE003PAMON
G,FK,0,1,CEPA003H40,KP22,DI3,F102,CEPA07SPA1,CEBIH1PA02
G,FK,1,1,CEPA003H40,KP22,DI3,F102,CEPACONT01,CEPA00307M
G,FK,1,2,CE045TMPA0,KP13,DI1,F311,CEPA003H40,CEPACONT01
B,SL,1,1,CE003PAMON,KP13,DI4,F112,CEPACONT01,CEPA00307M
G,FK,1,2,CE003PAMON,KP13,DI4,F112,CEPA003H40,CEPACONT01
G,FK,1,1,CE003PAMON,KP13,DI4,F112,CEPACONT01,CEPA003003
G,SL,1,1,CE003PAMON,KP13,DI4,F112,CEPACONT01,CEPA00301M
G,FK,0,0,CE003PAMON,KP13,DI4,F323,CEPACONT01,CRSTR0000P
G,FK,0,0,CE003PAMON,KP13,DI4,F116,CEPACONT01,CRSTR0000P
G,FK,0,0,CE003PAMON,KP13,DI4,F306,CEPACONT01,CRSTR0000P
G,FK,1,0,CE003PAMON,KP13,DI4,F107,CEPACONT01,CEPA003003
G,FK,1,0,CE003PAMON,KP13,DI4,F18,CEPACONT01,CEPA003003
G,FK,2,0,CEPA07SPA1,KP13,DI4,F413,CEPACONT01,CEPA003003
G,FK,1,1,CEBAKPA003,KP12,DI3,F413,CEPACONT01,CEPA00301M
G,SL,0,1,CEPA07SAC2,KP13,DI4,F45,CEBIH1PA02,CEBIHPA002
G,SL,0,1,CEPA07SAC2,KP13,DI4,F45,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA07SAC1,KP13,DI4,F45,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA07SAC1,KP13,DI4,F45,CEBIH1PA02,CEBIHPA002
G,FK,2,1,CEPA003003,KP13,DI4,F375,CEPACONT01,CEPA003005
G,FK,0,1,CEPA07SAC2,KP13,DI4,F413,CEPACONT01,CRSTR0000P
G,FK,1,1,CEPA003003,KP20,DI4,F229,CEPACONT01,CEPACONT01
G,FK,0,1,CEPA003H40,KP24,DI3,F110,CEPACONT01,CRSTR0000P
G,FK,0,1,CEPA003H40,KP02,DI3,F167,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA003H40,KP02,DI3,F167,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CE045TMPA0,KP13,DI1,F376,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CE003PAMON,KP11,DI4,F334,CEBIH1PA02,CEBIHPA002
G,SL,0,1,CE003PAMON,KP11,DI4,F334,CEBIH1PA02,CEBIHPA002
G,SL,0,1,CE003PAMON,KP11,DI4,F334,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CE003PAMON,KP11,DI4,F334,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA00307M,KP20,DI4,F55,CEBIH1PA02,CEBIHPA002
B,FK,0,1,CEPA00308M,KP13,DI4,F80,CEBIH1PA02,CEBIHPA002
G,SL,0,1,CEPA00307M,KP13,DI4,F67,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA00308M,KP12,DI4,F272,CEBIH1PA02,CEBIHPA002
G,FK,0,1,CEPA003H10,KP02,DI3,F39,CEPACONT01,CRSTR0000P
